Joint,U1,U2,U3,R1,R2,R3
176,-0.000001327,-0.000399,-0.000239,-0.001981,0.000099,-0.001635
177,0.009762,0.00034,0.007609,0.000085,0.019926,0.001258
177,-0.000019,-0.000045,-0.000246,-0.000412,0.000064,-0.000162
178,0.009848,0.001066,0.007489,0.00125,0.021361,0.003254
178,-0.000027,-0.000051,-0.000253,-0.000406,0.000031,-0.000128
179,0.009979,0.001805,0.007028,0.002085,0.024728,0.005541
179,-0.000026,-0.000057,-0.00026,-0.000404,0.000012,-0.000802
180,0.010116,0.002513,0.00616,0.001839,0.029153,0.006259
180,-0.000021,-0.000061,-0.000266,-0.00038,0.000008608,-0.001252
181,0.010141,0.003056,0.004806,0.001582,0.033578,0.003383
181,-0.000014,-0.000062,-0.000271,-0.000328,0.000013,-0.001685
182,0.009953,0.003191,0.002919,0.001155,0.037032,0.000046
182,-0.000006727,-0.000063,-0.000276,-0.002413,0.000021,-0.003266
183,0.009611,0.002756,0.001105,0.000049,0.039481,0.000038
183,-3.243E-08,-0.000063,-0.000279,-0.006036,0.000026,-0.009976
184,0.009272,0.001804,0.000103,0.000032,0.040131,0.000041
184,0.000006488,-0.000062,-0.002152,-0.008824,0.000029,-0.01506
185,0.00911,0.000642,-0.000269,0.000019,0.0403,0.000054
185,0.000013,-0.000058,-0.005157,-0.008729,0.000028,-0.01647
186,0.009186,0.000064,-0.000286,0.000013,0.040449,0.000069
186,0.000018,-0.000637,-0.008321,-0.006709,0.000024,-0.01385
187,0.009392,7.999E-07,-0.000288,0.000011,0.041971,0.000074
187,0.000022,-0.001454,-0.011469,-0.003969,0.000021,-0.007964
188,0.009501,-0.000038,-0.000289,0.000011,0.044365,0.000064
188,0.000025,-0.001725,-0.014458,-0.002544,0.000018,-0.002001
189,0.009275,-0.000031,-0.000289,0.002795,0.048412,0.007692
189,0.000027,-0.001476,-0.017142,-0.002151,0.000014,-0.000999
190,0.008599,-0.000025,-0.000289,0.005058,0.053977,0.013347
190,0.000029,-0.000922,-0.019382,-0.001634,0.000011,-0.000326
191,0.007615,-0.00002,-0.000288,0.005216,0.060462,0.014131
191,0.000032,-0.000377,-0.021062,-0.00113,0.000009243,-0.000087
192,0.006715,-0.000011,-0.000287,0.003119,0.06562,0.009275
192,0.000036,-0.000124,-0.022107,-0.000661,0.000012,-0.000042
193,0.012592,0.000347,-0.000309,0.000082,0.050111,0.000736
193,0.000051,-0.000004971,-0.022943,-0.00064,0.000053,-0.005107
194,0.012435,0.000071,-0.000311,0.000025,0.050999,0.000739
194,0.000044,-0.000012,-0.023275,-0.000437,0.00004,-0.00008
195,0.013047,0.000738,-0.000306,0.000518,0.047926,0.001104
195,0.000058,0.000003364,-0.021898,-0.000539,0.000068,-0.008278
196,0.013523,0.001229,-0.000302,0.001291,0.045303,0.001477
196,0.000065,0.000014,-0.020195,-0.000157,0.000082,-0.007431
